style,color_slug,color_name,total_qty,earliest_eta,sku_count,image_relpath,image_file,has_image,display_status
1000TLS,rise-performance-scalloped-bottom-long-sleeve-shirt-black-size,Rise Performance Scalloped Bottom Long Sleeve Shirt Black Size,202,,4,,,False,202
1000TLS,rise-performance-scalloped-bottom-long-sleeve-shirt-black-size-2xl,Rise Performance Scalloped Bottom Long Sleeve Shirt Black Size 2XL,44,,1,,,False,44
1000TLS,rise-performance-scalloped-bottom-long-sleeve-shirt-black-size-3xl,Rise Performance Scalloped Bottom Long Sleeve Shirt Black Size 3XL,30,,1,,,False,30
1000TLS,rise-performance-scalloped-bottom-long-sleeve-shirt-grey-size,Rise Performance Scalloped Bottom Long Sleeve Shirt Grey Size,268,,4,,,False,268
1000TLS,rise-performance-scalloped-bottom-long-sleeve-shirt-grey-size-2xl,Rise Performance Scalloped Bottom Long Sleeve Shirt Grey Size 2XL,54,,1,,,False,54
1000TLS,rise-performance-scalloped-bottom-long-sleeve-shirt-grey-size-3xl,Rise Performance Scalloped Bottom Long Sleeve Shirt Grey Size 3XL,26,,1,,,False,26
1000TLS,rise-performance-scalloped-bottom-long-sleeve-shirt-navy-size,Rise Performance Scalloped Bottom Long Sleeve Shirt Navy Size,76,,4,,,False,76
1000TLS,rise-performance-scalloped-bottom-long-sleeve-shirt-navy-size-2xl,Rise Performance Scalloped Bottom Long Sleeve Shirt Navy Size 2XL,48,,1,,,False,48
1000TLS,rise-performance-scalloped-bottom-long-sleeve-shirt-navy-size-3xl,Rise Performance Scalloped Bottom Long Sleeve Shirt Navy Size 3XL,32,,1,,,False,32
1000TLS,rise-performance-scalloped-bottom-long-sleeve-shirt-red-size,Rise Performance Scalloped Bottom Long Sleeve Shirt Red Size,222,,4,,,False,222
1000TLS,rise-performance-scalloped-bottom-long-sleeve-shirt-red-size-2xl,Rise Performance Scalloped Bottom Long Sleeve Shirt Red Size 2XL,59,,1,,,False,59
1000TLS,rise-performance-scalloped-bottom-long-sleeve-shirt-red-size-3xl,Rise Performance Scalloped Bottom Long Sleeve Shirt Red Size 3XL,31,,1,,,False,31
1000TLS,rise-performance-scalloped-bottom-long-sleeve-shirt-royal-size,Rise Performance Scalloped Bottom Long Sleeve Shirt Royal Size,122,,4,,,False,122
1000TLS,rise-performance-scalloped-bottom-long-sleeve-shirt-royal-size-2xl,Rise Performance Scalloped Bottom Long Sleeve Shirt Royal Size 2XL,58,,1,,,False,58
1000TLS,rise-performance-scalloped-bottom-long-sleeve-shirt-royal-size-3xl,Rise Performance Scalloped Bottom Long Sleeve Shirt Royal Size 3XL,33,,1,,,False,33
1000TSS,rise-performance-scalloped-bottom-short-sleeve-shirt-black-size,Rise Performance Scalloped Bottom Short Sleeve Shirt Black Size,337,,4,,,False,337
1000TSS,rise-performance-scalloped-bottom-short-sleeve-shirt-black-size-2xl,Rise Performance Scalloped Bottom Short Sleeve Shirt Black Size 2XL,38,,1,,,False,38
1000TSS,rise-performance-scalloped-bottom-short-sleeve-shirt-black-size-3xl,Rise Performance Scalloped Bottom Short Sleeve Shirt Black Size 3XL,17,,1,,,False,17
1000TSS,rise-performance-scalloped-bottom-short-sleeve-shirt-grey-size,Rise Performance Scalloped Bottom Short Sleeve Shirt Grey Size,86,,4,,,False,86
1000TSS,rise-performance-scalloped-bottom-short-sleeve-shirt-grey-size-2xl,Rise Performance Scalloped Bottom Short Sleeve Shirt Grey Size 2XL,38,,1,,,False,38
1000TSS,rise-performance-scalloped-bottom-short-sleeve-shirt-grey-size-3xl,Rise Performance Scalloped Bottom Short Sleeve Shirt Grey Size 3XL,29,,1,,,False,29
1000TSS,rise-performance-scalloped-bottom-short-sleeve-shirt-navy-size,Rise Performance Scalloped Bottom Short Sleeve Shirt Navy Size,69,,4,,,False,69
1000TSS,rise-performance-scalloped-bottom-short-sleeve-shirt-navy-size-2xl,Rise Performance Scalloped Bottom Short Sleeve Shirt Navy Size 2XL,55,,1,,,False,55
1000TSS,rise-performance-scalloped-bottom-short-sleeve-shirt-navy-size-3xl,Rise Performance Scalloped Bottom Short Sleeve Shirt Navy Size 3XL,34,,1,,,False,34
1000TSS,rise-performance-scalloped-bottom-short-sleeve-shirt-red-size,Rise Performance Scalloped Bottom Short Sleeve Shirt Red Size,72,,4,,,False,72
1000TSS,rise-performance-scalloped-bottom-short-sleeve-shirt-red-size-2xl,Rise Performance Scalloped Bottom Short Sleeve Shirt Red Size 2XL,54,,1,,,False,54
1000TSS,rise-performance-scalloped-bottom-short-sleeve-shirt-red-size-3xl,Rise Performance Scalloped Bottom Short Sleeve Shirt Red Size 3XL,32,,1,,,False,32
1000TSS,rise-performance-scalloped-bottom-short-sleeve-shirt-royal-size,Rise Performance Scalloped Bottom Short Sleeve Shirt Royal Size,169,,4,,,False,169
1000TSS,rise-performance-scalloped-bottom-short-sleeve-shirt-royal-size-2xl,Rise Performance Scalloped Bottom Short Sleeve Shirt Royal Size 2XL,67,,1,,,False,67
1000TSS,rise-performance-scalloped-bottom-short-sleeve-shirt-royal-size-3xl,Rise Performance Scalloped Bottom Short Sleeve Shirt Royal Size 3XL,38,,1,,,False,38
110,solid-black,Solid Black,1480,2026-01-05,2,,,False,1480
110,solid-navy,Solid Navy,973,2026-03-30,2,,,False,973
110,solid-white,Solid White,0,2026-01-05,2,,,False,2026-01-05
110,standard-black-white,Standard Black/White,7086,2026-01-05,2,,,False,7086
110,standard-charcoal-black,Standard Charcoal/Black,6923,2026-05-04,2,,,False,6923
110,standard-charcoal-neon-blue,Standard Charcoal/Neon Blue,2533,,2,,,False,2533
110,standard-charcoal-neon-green,Standard Charcoal/Neon Green,5171,,2,,,False,5171
110,standard-charcoal-neon-orange,Standard Charcoal/Neon Orange,2722,,2,,,False,2722
110,standard-charcoal-neon-yellow,Standard Charcoal/Neon Yellow,4918,,2,,,False,4918
110,standard-dark-green-white,Standard Dark Green/White,196,2026-05-04,2,,,False,196
110,standard-dark-orange-khaki,Standard Dark Orange/Khaki,1630,,2,,,False,1630
110,standard-green-camo-black,Standard Green Camo/Black,945,2026-05-04,2,,,False,945
110,standard-heather-grey-black,Standard Heather Grey/Black,8100,2026-02-02,2,,,False,8100
110,standard-heather-grey-dark-green,Standard Heather Grey/Dark Green,928,,2,,,False,928
110,standard-heather-grey-navy,Standard Heather Grey/Navy,1940,2026-02-02,2,,,False,1940
110,standard-heather-grey-white,Standard Heather Grey/White,4734,2026-05-04,2,,,False,4734
110,standard-khaki-coffee,Standard Khaki/Coffee,1156,2026-03-30,2,,,False,1156
110,standard-loden-black,Standard Loden/Black,3003,2026-05-04,2,,,False,3003
110,standard-navy-white,Standard Navy/White,1099,2026-01-26,2,,,False,1099
110,standard-royal-white,Standard Royal/White,934,2026-03-30,2,,,False,934
111,solid-black,Solid Black,3086,2026-03-06,1,,,False,3086
111,solid-charcoal,Solid Charcoal,1717,2025-12-17,1,,,False,1717
111,solid-navy,Solid Navy,476,2025-12-17,1,,,False,476
111,solid-white,Solid White,6810,2025-12-17,1,,,False,6810
111,split-black-charcoal,Split Black/Charcoal,11188,2025-12-17,1,,,False,11188
111,split-black-khaki,Split Black/Khaki,953,2026-05-31,1,,,False,953
111,split-black-white,Split Black/White,8693,,1,,,False,8693
111,split-brown-khaki,Split Brown/Khaki,392,2025-12-17,1,,,False,392
111,split-charcoal-neon-yellow,Split Charcoal/Neon Yellow,3699,,1,,,False,3699
111,split-charcoal-white,Split Charcoal/White,11775,,1,,,False,11775
111,split-columbia-blue-khaki,Split Columbia Blue/Khaki,6516,,1,,,False,6516
111,split-dark-green-white,Split Dark Green/White,724,,1,,,False,724
111,split-driftwood-khaki,Split Driftwood/Khaki,7780,2025-12-17,1,,,False,7780
111,split-kelly-white,Split Kelly/White,3020,,1,,,False,3020
111,split-navy-khaki,Split Navy/Khaki,4634,2026-05-31,1,,,False,4634
111,split-navy-white,Split Navy/White,18039,,1,,,False,18039
111,split-pink-white,Split Pink/White,1910,2026-05-31,1,,,False,1910
111,split-red-charcoal,Split Red/Charcoal,1982,2026-05-31,1,,,False,1982
111,split-red-white,Split Red/White,1403,2025-12-17,1,,,False,1403
111,split-royal-charcoal,Split Royal/Charcoal,3752,,1,,,False,3752
111,split-royal-white,Split Royal/White,1419,2025-12-29,1,,,False,1419
111,split-texas-orange-khaki,Split Texas Orange/Khaki,4673,2026-05-31,1,,,False,4673
111,tri-columbia-blue-charcoal-navy,Tri Columbia Blue/Charcoal/Navy,5688,,1,,,False,5688
111P,digital-camo-light-green,Digital Camo/Light Green,2218,,1,,,False,2218
111P,green-camo-black,Green Camo/Black,5398,,1,,,False,5398
111P,kryptek-highlander-brown,Kryptek Highlander/Brown,2458,,1,,,False,2458
111P,kryptek-typhon-black,Kryptek Typhon/Black,1616,,1,,,False,1616
111P,mossy-oak-bottomland-black,Mossy Oak Bottomland/Black,0,2026-03-06,1,,,False,2026-03-06
111P,mossy-oak-country-dna-black,Mossy Oak Country DNA/Black,624,2025-12-17,1,,,False,624
111P,mossy-oak-habitat-brown,Mossy Oak Habitat/Brown,382,,1,,,False,382
111P,mossy-oak-obsession-khaki,Mossy Oak Obsession/Khaki,1356,,1,,,False,1356
111P,realtree-edge-brown,Realtree Edge/Brown,5461,2026-05-31,1,,,False,5461
111P,realtree-max-1-brown,Realtree Max-1/Brown,473,2025-12-17,1,,,False,473
111P,realtree-max-7-buck,Realtree Max-7/Buck,1613,,1,,,False,1613
111P,realtree-original-black,Realtree Original/Black,187,2026-03-06,1,,,False,187
111P,realtree-timber-black,Realtree Timber/Black,1059,,1,,,False,1059
111PT,split-multicam-arid-tan,Split Multicam Arid/Tan,810,2026-05-04,1,,,False,810
111PT,split-multicam-black-black,Split Multicam Black/Black,0,2026-03-16,1,,,False,2026-03-16
111PT,split-multicam-original-brown,Split Multicam Original/Brown,2779,,1,,,False,2779
111PT,split-multicam-tropic-loden,Split Multicam Tropic/Loden,71,2025-12-17,1,,,False,71
111T,solid-army-olive,Solid Army Olive,0,2026-05-04,1,,,False,2026-05-04
111T,solid-black,Solid Black,0,2026-05-04,1,,,False,2026-05-04
111T,solid-navy,Solid Navy,2211,,1,,,False,2211
