style,style_total_qty,color_count,in_stock_color_count,earliest_eta,image_coverage
1000TLS,1305,15,15,,0.0
1000TSS,1135,15,15,,0.0
110,56471,20,19,2026-01-05,0.0
111,110329,23,23,2025-12-17,0.0
111P,22845,13,12,2025-12-17,0.0
111PT,3660,4,3,2025-12-17,0.0
111T,2211,3,1,2026-05-04,0.0
112,4083292,119,109,2025-12-17,0.5798319327731093
112FP,69793,18,14,2025-12-19,0.0
112FPC,95791,11,11,2026-02-12,0.0
112FPR,17014,13,7,2025-12-29,0.0
112LN,1888,5,3,2026-01-15,0.0
112P,128851,10,8,2025-12-29,0.0
112PFP,273008,38,34,2025-12-29,0.0
112PL,55066,12,9,2026-01-05,0.0
112PM,76348,6,5,2026-01-05,0.0
112PT,35818,4,4,2026-03-16,0.0
112RE,91233,8,8,2026-01-09,0.0
112T,20126,3,3,,0.0
112WF,9648,6,6,2025-12-17,0.0
112WH,17501,6,6,2025-12-17,0.0
113,11801,8,7,2026-01-05,0.0
115,204743,49,48,2026-01-05,0.0
115CH,53189,7,7,2026-03-30,0.0
126,0,5,0,2026-02-17,0.0
127,921,2,2,,0.0
130,4488,6,6,,0.6666666666666666
135,6815,8,8,,0.0
137,18543,8,8,2026-05-31,0.0
138,959,3,3,,0.0
139RE,1209,6,5,2026-04-13,0.0
141,35973,15,15,,0.0
143,6522,10,10,,0.0
145,24562,18,18,,0.0
146,16687,18,17,2025-12-17,0.0
147,3031,9,9,,0.0
148,3036,6,6,,0.0
149,11091,11,11,,0.0
154,379,2,2,,0.0
157,3024,7,7,,0.0
159,1387,4,4,,1.0
160,9773,7,7,2025-12-17,0.0
163,27568,12,11,2026-01-05,0.4166666666666667
168,33763,19,14,2026-01-05,0.0
168P,214609,6,6,2026-01-13,0.0
169,28283,13,12,2025-12-17,0.0
172,56998,47,47,2025-12-17,0.0
173,86792,14,14,2025-12-17,0.0
176,2037,3,3,,0.6666666666666666
178,28,1,1,,0.0
185,20685,9,9,2025-12-17,0.8888888888888888
2000TLS,13679,15,13,2026-01-19,0.0
203,7493,5,5,,0.0
212,61197,85,83,2025-12-17,0.4117647058823529
213,2847,2,2,,0.0
214,7436,16,16,,0.25
217,8268,7,7,2026-01-05,0.0
220,84994,17,17,2026-01-02,0.0
222,9919,4,4,,0.0
224RE,3206,4,4,,0.0
225,55191,16,14,2025-12-29,0.0
227,15555,5,5,,0.0
252L,518,1,1,,0.0
253,6093,4,4,2025-12-17,0.0
254RE,7736,3,3,,1.0
255,18011,8,8,2025-12-17,0.5
256,107495,19,13,2025-12-29,0.0
256P,189269,7,7,2026-01-05,0.0
257,16549,5,5,,0.4
258,77210,14,10,2025-12-17,0.0
262,25960,9,9,2026-05-31,0.0
3000T,4990,18,18,,0.0
309,1175,2,2,,0.0
312,96455,29,27,2026-01-02,0.0
320,48,1,1,,0.0
320T,994,5,4,2026-01-02,0.0
322,2926,5,5,,1.0
323FPC,49197,7,7,2026-02-14,0.0
324,20876,7,7,2026-03-06,0.0
324RE,8526,7,5,2026-03-06,0.0
325,82,1,1,,1.0
326,101915,17,17,2025-12-19,0.0
336,16662,6,6,2026-03-06,0.0
355,0,11,0,2025-12-22,0.0
356,9387,10,4,2025-12-17,0.0
380,5843,3,3,,0.0
382,6978,5,5,,0.0
4000T,2473,9,9,,0.0
414,1752,8,8,,0.125
420,1740,1,1,,1.0
435,4709,2,2,2026-01-02,0.0
436,7468,4,4,,0.5
485,2175,1,1,2026-01-09,1.0
487,2078,1,1,,0.0
495,9137,13,13,,0.9230769230769231
5000B,1417,9,9,,0.0
510,9258,8,7,2026-02-09,0.0
511,28927,20,19,2026-01-05,0.45
512,24523,25,25,2026-02-23,0.68
514,8836,41,41,,0.3170731707317073
520,25,1,1,,0.0
525,192,2,2,,0.0
530,3755,24,22,2026-01-13,0.0
533,338,2,2,2026-01-05,0.0
535,1475,2,2,2026-02-16,0.0
540,5432,24,22,2026-01-13,0.0
543,623,2,2,2026-01-05,0.0
545,575,2,1,2026-02-16,0.0
550,2127,23,21,2026-01-13,0.0
585,29628,28,28,2025-12-17,0.8571428571428571
6000B,1265,9,9,2026-01-19,0.0
632,77053,58,52,2026-01-05,0.2413793103448276
633,1386,2,2,2026-01-05,0.0
634,1656,8,8,,0.125
643,1296,3,3,2026-01-05,0.0
653,1795,2,2,2026-01-05,0.0
707,32,1,1,,0.0
709,12528,16,12,2026-02-02,0.0
7112,3956,18,18,2026-01-19,0.0
7112W,4848,18,18,,0.0
712,5580,4,4,,0.0
715,0,1,0,2026-01-02,0.0
733,105,2,2,2026-01-19,0.0
740,9752,11,11,,0.0
743,0,2,0,2026-01-19,0.0
753,3321,2,2,,0.0
775,3681,6,6,,0.8333333333333334
810,5555,8,8,2026-01-02,0.0
822,4582,3,3,,0.0
824,3763,3,3,,0.0
828,1315,2,2,,0.0
835,20606,10,10,2026-02-02,0.0
840,40,1,1,,0.0
843,417,2,2,,0.0
848,170,1,1,,0.0
862,13994,1,1,,0.0
865,767,1,1,,0.0
870,608,2,2,,0.0
882,0,1,0,2026-03-23,0.0
882FP,0,1,0,2026-05-31,0.0
909,2346,3,3,2026-02-23,0.0
910,1221,3,3,2026-01-02,0.0
930,15796,6,6,2026-01-15,0.0
931,20524,6,6,,0.0
932,2113,2,2,,0.0
933,822,2,2,,0.0
934,4291,3,3,,0.0
935,3923,9,7,2026-01-05,0.0
936,3768,8,8,,0.0
